Age,Gender,Parental_Edu,Income,Prev_Grade,Attendance,Study_Hrs,Motivation,Stress,Social_Media,Sleep,Final_Grade,ID,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
23,F,PhD,Low,87,0.8,1.8,Low,Medium,3.4,4,B,231,male,group C,associate's degree,standard,none,46,43,42
19,M,Master's,Low,93,0.77,5.0,Low,Low,1.0,4,A,232,female,group B,bachelor's degree,standard,none,67,86,83
18,F,PhD,Low,64,0.94,3.8,Low,Low,2.6,7,A,233,male,group E,some high school,standard,none,92,87,78
24,F,Bachelor's,High,93,0.98,5.2,Medium,High,3.8,4,A,234,male,group C,bachelor's degree,standard,completed,83,82,84
18,F,Master's,Medium,90,0.78,1.0,Medium,High,3.7,5,B,235,male,group D,associate's degree,standard,none,80,75,77
24,M,High School,High,83,0.82,4.7,Low,Low,1.8,8,A,236,male,group D,bachelor's degree,free/reduced,none,63,66,67
17,F,Bachelor's,Medium,94,0.94,1.3,Medium,Low,1.7,6,A,237,female,group D,some high school,standard,completed,64,60,74
17,M,High School,High,62,0.83,5.8,High,Low,2.5,4,A,238,male,group B,some college,standard,none,54,52,51
17,F,High School,Medium,57,0.96,4.5,High,High,1.3,7,A,239,male,group C,associate's degree,standard,none,84,80,80
21,F,PhD,Low,62,0.75,2.6,Medium,Low,4.9,5,C,240,male,group D,high school,free/reduced,completed,73,68,66
18,F,PhD,Low,85,0.87,2.6,Medium,High,2.1,4,B,241,female,group E,bachelor's degree,standard,none,80,83,83
24,F,Master's,Low,55,0.76,5.3,Low,Low,4.7,8,A,242,female,group D,high school,standard,none,56,52,55
19,M,PhD,High,87,0.97,5.5,Medium,Low,4.6,8,A,243,male,group E,some college,standard,none,59,51,43
16,M,High School,High,81,0.84,5.5,Low,High,2.1,7,A,244,male,group D,some high school,standard,none,75,74,69
19,F,High School,High,70,0.97,5.0,High,Medium,1.6,4,A,245,male,group C,associate's degree,standard,none,85,76,71
16,F,Bachelor's,Low,93,0.93,5.1,Medium,High,4.0,4,A,246,male,group E,associate's degree,standard,none,89,76,74
20,M,High School,Medium,93,0.91,3.9,High,Medium,1.5,4,A,247,female,group B,high school,standard,completed,58,70,68
19,M,Master's,Low,98,0.98,1.1,Medium,High,2.8,8,A,248,female,group B,high school,standard,none,65,64,62
23,M,Master's,Low,56,0.87,1.4,Medium,Medium,1.0,4,D,249,male,group C,high school,standard,none,68,60,53
23,M,PhD,Medium,75,0.88,4.2,Low,Medium,2.2,4,A,250,male,group A,some high school,standard,completed,47,49,49
22,F,PhD,Medium,64,0.85,3.0,Low,Medium,0.9,4,B,251,female,group D,some college,free/reduced,none,71,83,83
18,F,PhD,Medium,98,0.84,3.8,Medium,High,1.8,4,A,252,female,group B,some high school,standard,completed,60,70,70
16,M,Master's,Medium,91,0.81,2.2,Medium,High,3.5,7,A,253,male,group D,master's degree,standard,none,80,80,72
16,M,High School,Low,72,0.84,4.2,Low,High,5.0,8,A,254,male,group D,high school,standard,none,54,52,52
18,M,PhD,High,87,0.98,2.2,High,Medium,1.6,6,A,255,female,group E,some college,standard,none,62,73,70
21,M,Bachelor's,Low,90,0.75,3.3,Medium,Medium,2.6,7,A,256,female,group C,associate's degree,free/reduced,none,64,73,68
22,M,PhD,Medium,64,0.88,3.4,Low,High,2.5,4,C,257,male,group C,associate's degree,standard,completed,78,77,77
21,M,Master's,High,97,0.77,1.9,Medium,High,1.3,6,A,258,female,group B,some college,standard,none,70,75,78
21,F,PhD,High,89,0.87,5.4,Low,Low,3.2,5,A,259,female,group C,master's degree,free/reduced,completed,65,81,81
21,F,High School,Low,65,0.76,3.6,High,Low,3.8,6,A,260,female,group C,some high school,free/reduced,completed,64,79,77
18,F,PhD,Low,81,0.91,5.3,Medium,Low,1.2,7,A,261,male,group C,some college,standard,completed,79,79,78
21,M,Master's,Low,86,0.95,2.3,Medium,Low,3.9,8,A,262,female,group C,some high school,free/reduced,none,44,50,51
23,M,Master's,High,67,0.77,1.9,High,Low,3.7,7,B,263,female,group E,high school,standard,none,99,93,90
17,M,Bachelor's,High,69,0.89,1.1,Medium,High,1.4,8,B,264,male,group D,high school,standard,none,76,73,68
20,F,Master's,High,95,0.82,1.5,Medium,Medium,3.4,8,A,265,male,group D,some high school,free/reduced,none,59,42,41
16,M,Bachelor's,Medium,51,0.8,1.7,Medium,Medium,2.3,8,C,266,female,group C,bachelor's degree,standard,none,63,75,81
16,M,High School,Medium,72,0.83,1.4,Low,High,3.6,5,C,267,female,group D,high school,standard,none,69,72,77
20,F,Master's,Low,79,0.99,5.5,Low,High,2.7,6,A,268,female,group D,associate's degree,standard,completed,88,92,95
18,M,PhD,High,52,0.85,5.6,Medium,High,0.7,7,A,269,female,group E,some college,free/reduced,none,71,76,70
19,F,High School,Low,95,0.96,5.7,High,Low,4.0,7,A,270,male,group C,bachelor's degree,standard,none,69,63,61
18,F,PhD,High,88,0.76,5.8,High,Low,3.0,8,A,271,male,group C,some college,standard,none,58,49,42
16,M,PhD,Low,96,0.83,3.5,Medium,Low,3.8,5,A,272,female,group D,associate's degree,free/reduced,none,47,53,58
16,F,PhD,Medium,98,0.92,3.7,Low,High,1.1,5,A,273,female,group D,some college,standard,none,65,70,71
20,M,High School,High,50,0.93,1.7,Low,High,3.7,4,D,274,male,group B,some college,standard,completed,88,85,76
21,F,High School,Medium,90,0.96,1.7,Medium,Medium,2.4,5,A,275,male,group C,bachelor's degree,standard,none,83,78,73
18,M,Master's,High,71,0.92,4.9,Low,High,4.1,8,A,276,female,group C,some high school,standard,completed,85,92,93
24,F,PhD,Low,78,0.79,5.3,Low,Low,3.2,8,A,277,female,group E,high school,standard,completed,59,63,75
20,M,Bachelor's,High,63,0.92,4.9,High,Medium,2.1,6,A,278,female,group C,some high school,free/reduced,none,65,86,80
23,F,Master's,Medium,97,0.86,5.2,Medium,High,1.4,8,A,279,male,group B,bachelor's degree,free/reduced,none,73,56,57
16,F,High School,High,77,0.78,2.4,Low,Medium,4.2,6,B,280,male,group D,high school,standard,none,53,52,42
20,F,Bachelor's,Low,70,0.89,3.3,Low,Medium,3.0,5,B,281,male,group D,high school,standard,none,45,48,46
18,M,High School,High,94,0.85,3.3,Low,High,4.9,4,A,282,female,group D,bachelor's degree,free/reduced,none,73,79,84
16,M,Bachelor's,Medium,81,0.93,6.0,Medium,Low,2.2,7,A,283,female,group D,some college,free/reduced,completed,70,78,78
19,F,Master's,Low,55,0.79,5.7,Medium,Low,3.6,8,A,284,female,group B,some high school,standard,none,37,46,46
20,M,Bachelor's,Medium,50,0.8,4.0,Low,Medium,3.3,5,B,285,male,group B,associate's degree,standard,completed,81,82,82
22,F,Master's,High,70,0.87,1.7,High,High,3.4,8,B,286,male,group E,associate's degree,standard,completed,97,82,88
16,M,High School,Medium,53,0.97,2.3,High,High,3.8,6,B,287,female,group B,some high school,standard,none,67,89,82
18,F,Bachelor's,High,52,0.84,2.8,Medium,Low,1.1,5,C,288,male,group B,bachelor's degree,free/reduced,none,88,75,76
17,M,PhD,Low,98,0.98,5.4,High,High,3.0,7,A,289,male,group E,some high school,standard,completed,77,76,77
24,F,PhD,Medium,79,0.99,1.9,Low,High,2.8,6,B,290,male,group C,associate's degree,standard,none,76,70,68
21,F,High School,Medium,80,0.88,2.1,Medium,Medium,2.0,5,B,291,male,group D,some high school,standard,none,86,73,70
18,F,Bachelor's,High,83,0.78,2.7,Medium,High,2.5,7,A,292,male,group C,some high school,standard,completed,63,60,57
23,F,PhD,Medium,68,0.94,5.6,High,High,2.8,6,A,293,female,group E,bachelor's degree,standard,none,65,73,75
23,M,Master's,Medium,69,0.97,3.5,Medium,High,1.9,7,A,294,male,group D,high school,free/reduced,completed,78,77,80
17,F,Bachelor's,Low,72,0.86,4.2,High,Low,1.8,5,A,295,male,group B,associate's degree,free/reduced,none,67,62,60
21,M,Bachelor's,High,89,0.89,2.9,High,Low,3.8,6,A,296,male,group A,some high school,standard,completed,46,41,43
22,M,PhD,High,74,0.84,1.9,Low,Medium,0.8,4,B,297,male,group E,associate's degree,standard,completed,71,74,68
17,F,Master's,Low,64,0.85,2.1,High,Low,1.9,8,A,298,male,group C,high school,free/reduced,completed,40,46,50
17,M,Master's,Low,87,0.83,5.0,High,Low,3.4,4,A,299,male,group D,associate's degree,free/reduced,none,90,87,75
16,M,Master's,High,72,0.85,5.5,Medium,Low,1.4,7,A,300,male,group A,some college,free/reduced,completed,81,78,81
23,M,Bachelor's,Low,51,0.76,3.5,Low,Low,3.1,5,C,301,male,group D,some high school,free/reduced,none,56,54,52
16,F,High School,Low,64,0.87,2.8,Low,Medium,1.9,8,A,302,female,group C,associate's degree,standard,completed,67,84,81
24,M,Bachelor's,Low,93,0.96,5.0,High,High,4.3,5,A,303,male,group B,associate's degree,standard,none,80,76,64
21,M,Bachelor's,High,84,0.82,4.4,Medium,High,2.1,7,A,304,female,group C,associate's degree,standard,completed,74,75,83
22,F,PhD,Low,59,0.95,1.2,Medium,High,1.5,5,D,305,male,group A,some college,standard,none,69,67,69
22,F,High School,Medium,63,0.95,2.8,Medium,Medium,2.9,6,B,306,male,group E,some college,standard,completed,99,87,81
18,M,Master's,Medium,76,0.82,4.4,Low,Low,1.1,6,A,307,male,group C,some high school,standard,none,51,52,44
17,F,PhD,High,63,0.75,3.9,Low,Medium,4.1,7,A,308,female,group B,associate's degree,free/reduced,none,53,71,67
24,M,Bachelor's,Low,84,0.8,5.9,High,Medium,3.6,5,A,309,female,group D,high school,free/reduced,none,49,57,52
23,M,High School,Medium,82,0.87,5.3,High,Medium,4.0,7,A,310,female,group B,associate's degree,standard,none,73,76,80
22,M,Master's,High,50,0.83,1.3,Medium,High,2.3,8,C,311,male,group B,bachelor's degree,standard,none,66,60,57
24,F,Master's,Medium,83,0.8,4.6,High,Low,4.3,5,A,312,male,group D,bachelor's degree,standard,completed,67,61,68
19,M,Bachelor's,Low,68,0.89,2.7,Medium,High,2.7,6,B,313,female,group C,associate's degree,free/reduced,completed,68,67,69
19,F,Master's,High,73,0.97,4.4,Low,Medium,0.9,4,A,314,female,group C,bachelor's degree,standard,completed,59,64,75
16,F,Master's,Medium,91,0.9,4.1,High,Medium,1.5,6,A,315,male,group C,high school,standard,none,71,66,65
23,M,High School,High,53,0.78,3.5,Medium,High,3.7,5,C,316,female,group D,master's degree,standard,completed,77,82,91
18,F,PhD,Medium,85,0.91,5.3,Low,High,4.5,5,A,317,male,group C,associate's degree,standard,none,83,72,78
22,F,High School,Medium,62,0.83,4.5,Medium,High,0.9,5,B,318,male,group B,bachelor's degree,standard,none,63,71,69
17,F,PhD,Low,81,0.86,5.4,High,Low,4.4,5,A,319,female,group D,associate's degree,free/reduced,none,56,65,63
17,F,PhD,Low,58,0.96,2.4,Medium,High,4.1,8,B,320,female,group C,high school,free/reduced,completed,67,79,84
22,F,PhD,Medium,88,0.93,2.7,Low,Low,2.1,4,A,321,female,group E,high school,standard,none,75,86,79
21,M,Master's,High,65,0.94,4.1,High,Low,3.6,6,A,322,female,group C,some college,standard,none,71,81,80
18,F,High School,High,99,0.86,5.8,Low,High,1.3,8,A,323,female,group C,some high school,free/reduced,none,43,53,53
24,M,Master's,Low,52,0.96,2.9,High,Medium,4.2,7,A,324,female,group C,high school,free/reduced,none,41,46,43
21,M,Bachelor's,Medium,69,0.8,1.2,Medium,Medium,3.5,5,C,325,female,group C,some college,standard,none,82,90,94
21,M,High School,Low,59,0.86,3.2,Low,Low,2.5,6,B,326,male,group C,some college,standard,none,61,61,62
16,M,PhD,Medium,71,0.83,3.7,Low,Low,4.4,7,A,327,male,group A,some college,free/reduced,none,28,23,19
19,M,Master's,Medium,97,0.94,5.0,Medium,Low,1.1,4,A,328,male,group C,associate's degree,standard,completed,82,75,77
21,M,Master's,Low,52,0.79,4.6,Low,Medium,4.3,6,B,329,female,group B,some high school,standard,none,41,55,51
21,F,High School,High,60,0.95,5.8,Low,Low,0.6,8,A,330,male,group C,high school,standard,none,71,60,61
20,F,High School,Low,74,0.77,4.9,Low,Low,3.9,7,A,331,male,group C,associate's degree,standard,none,47,37,35
16,F,PhD,Medium,91,0.76,2.5,Low,Medium,3.1,6,A,332,male,group E,associate's degree,standard,completed,62,56,53
23,M,PhD,Low,97,0.82,4.2,Medium,High,3.6,8,A,333,male,group B,associate's degree,standard,none,90,78,81
20,F,Bachelor's,High,57,0.84,4.4,Low,Medium,2.4,5,B,334,female,group C,bachelor's degree,standard,none,83,93,95
20,F,PhD,High,58,0.89,6.0,Low,High,4.4,6,A,335,female,group B,some college,free/reduced,none,61,68,66
22,F,Master's,Medium,64,0.83,1.7,Low,High,1.9,5,C,336,male,group D,some high school,standard,completed,76,70,69
19,M,Bachelor's,Low,81,0.84,2.0,High,Low,1.7,7,A,337,male,group C,associate's degree,standard,none,49,51,43
21,F,Bachelor's,High,52,0.85,1.8,High,Low,1.9,7,B,338,female,group B,some high school,free/reduced,none,24,38,27
19,M,Bachelor's,Low,53,0.83,3.9,Medium,High,4.0,7,B,339,female,group D,some high school,free/reduced,completed,35,55,60
18,F,High School,High,79,0.88,1.7,Medium,Low,2.7,5,B,340,male,group C,high school,free/reduced,none,58,61,52
22,M,PhD,Medium,62,0.79,4.3,Medium,High,2.9,5,B,341,female,group C,high school,standard,none,61,73,63
23,M,Bachelor's,Medium,93,0.83,5.0,Low,Low,4.2,8,A,342,female,group B,high school,standard,completed,69,76,74
19,M,High School,Low,70,0.78,3.2,High,Medium,4.3,6,A,343,male,group D,associate's degree,standard,completed,67,72,67
17,F,High School,Medium,90,0.76,3.8,High,High,1.2,8,A,344,male,group D,some college,standard,none,79,73,67
18,F,Bachelor's,High,95,0.93,5.6,Medium,High,3.0,5,A,345,female,group C,high school,standard,none,72,80,75
16,M,Bachelor's,Medium,68,0.75,3.8,High,Low,1.1,6,A,346,male,group B,some college,standard,none,62,61,57
23,F,Master's,High,88,0.95,2.0,Medium,Medium,4.4,7,A,347,female,group C,bachelor's degree,standard,completed,77,94,95
18,M,Bachelor's,High,97,0.75,2.7,Low,Low,4.3,8,A,348,male,group D,high school,free/reduced,none,75,74,66
22,M,Master's,Medium,71,0.86,3.6,High,Medium,4.3,8,A,349,male,group E,associate's degree,standard,none,87,74,76
20,F,Bachelor's,High,69,0.85,1.8,Low,Low,3.7,8,B,350,female,group B,bachelor's degree,standard,none,52,65,69
20,F,Bachelor's,High,86,0.75,4.1,Low,High,2.6,5,A,351,male,group E,some college,standard,none,66,57,52
22,F,PhD,Low,80,0.88,6.0,High,Medium,2.3,6,A,352,female,group C,some college,standard,completed,63,78,80
24,M,Bachelor's,Low,59,0.85,4.3,Medium,Medium,2.3,7,A,353,female,group C,associate's degree,standard,none,46,58,57
20,M,Bachelor's,Low,67,0.81,2.9,High,Low,0.8,5,B,354,female,group C,some college,standard,none,59,71,70
16,F,Master's,Medium,92,0.76,2.7,Low,Medium,4.8,7,A,355,female,group B,bachelor's degree,standard,none,61,72,70
16,M,Master's,Low,88,0.89,5.7,Medium,Low,2.5,4,A,356,male,group A,associate's degree,standard,none,63,61,61
17,F,PhD,High,95,0.82,5.4,Low,Medium,4.7,4,A,357,female,group C,some college,free/reduced,completed,42,66,69
21,M,Bachelor's,Medium,69,0.96,3.4,Medium,Low,4.5,7,A,358,male,group D,some college,free/reduced,none,59,62,61
24,F,Bachelor's,Medium,67,0.94,2.8,High,Low,4.2,4,B,359,female,group D,some college,standard,none,80,90,89
23,F,Master's,Medium,60,0.99,4.6,Low,Low,3.1,6,A,360,female,group B,high school,standard,none,58,62,59
20,M,High School,Medium,71,0.89,2.6,Medium,High,1.0,6,B,361,male,group B,some high school,standard,completed,85,84,78
16,F,High School,High,93,0.82,1.6,Medium,Medium,2.0,5,A,362,female,group C,some college,standard,none,52,58,58
22,F,High School,High,67,0.84,2.6,High,High,3.2,7,B,363,female,group D,some high school,free/reduced,none,27,34,32
20,M,Master's,Low,83,0.93,3.2,Medium,High,0.6,5,A,364,male,group C,some college,standard,none,59,60,58
21,F,Master's,Medium,72,0.77,2.3,Medium,High,0.7,6,B,365,male,group A,bachelor's degree,free/reduced,completed,49,58,60
22,M,High School,Low,50,0.94,2.1,Low,High,3.5,6,C,366,male,group C,high school,standard,completed,69,58,53
18,F,High School,High,59,0.88,1.0,High,Medium,4.5,6,B,367,male,group C,bachelor's degree,free/reduced,none,61,66,61
18,M,Bachelor's,Medium,50,0.83,4.2,High,Medium,4.3,8,A,368,female,group A,some high school,free/reduced,none,44,64,58
20,F,Master's,High,87,0.83,4.1,Low,High,1.3,4,A,369,female,group D,some high school,standard,none,73,84,85
21,F,Master's,Low,88,0.95,1.9,Low,Medium,4.6,5,A,370,male,group E,some college,standard,none,84,77,71
24,F,High School,High,98,0.99,5.7,Low,Medium,3.6,5,A,371,female,group C,some college,free/reduced,completed,45,73,70
20,F,High School,Medium,58,0.8,3.0,Medium,Low,3.7,6,B,372,male,group D,some high school,standard,none,74,74,72
16,M,PhD,Medium,80,0.82,1.1,High,Medium,1.9,8,A,373,female,group D,some college,standard,completed,82,97,96
19,M,Master's,Low,56,0.85,2.1,High,High,3.7,5,C,374,female,group D,bachelor's degree,standard,none,59,70,73
20,M,PhD,Medium,66,0.82,4.5,High,Medium,3.7,5,A,375,male,group E,associate's degree,free/reduced,none,46,43,41
20,M,Bachelor's,High,84,0.86,2.0,Medium,High,3.2,8,A,376,female,group D,some high school,standard,none,80,90,82
22,M,PhD,High,97,0.84,1.3,High,Medium,2.1,6,A,377,female,group D,master's degree,free/reduced,completed,85,95,100
19,M,High School,High,86,0.97,4.1,High,High,4.1,8,A,378,female,group A,some high school,standard,none,71,83,77
16,M,Master's,High,67,0.78,3.6,High,Medium,4.7,4,B,379,male,group A,bachelor's degree,standard,none,66,64,62
20,F,Master's,Low,82,0.9,4.8,High,Medium,4.4,5,A,380,female,group B,associate's degree,standard,none,80,86,83
22,F,PhD,High,53,0.94,4.9,Low,Medium,1.6,4,B,381,male,group C,associate's degree,standard,completed,87,100,95
21,F,PhD,Low,72,0.8,5.8,Medium,High,2.5,5,A,382,male,group C,master's degree,free/reduced,none,79,81,71
20,F,Bachelor's,High,60,0.83,1.3,High,Low,2.0,4,C,383,female,group E,some high school,free/reduced,none,38,49,45
19,M,Bachelor's,Low,58,0.97,1.2,High,High,3.7,5,C,384,female,group A,some high school,free/reduced,none,38,43,43
17,M,High School,High,79,0.79,5.9,High,Medium,4.2,6,A,385,female,group E,some college,standard,none,67,76,75
19,M,High School,High,57,0.95,4.2,High,High,1.5,7,A,386,female,group E,bachelor's degree,standard,none,64,73,70
18,F,High School,Low,89,0.98,4.6,High,Medium,4.8,8,A,387,female,group C,associate's degree,free/reduced,none,57,78,67
16,M,PhD,Medium,54,0.8,1.5,Low,Medium,3.5,5,C,388,female,group D,high school,standard,none,62,64,64
23,F,PhD,Medium,61,0.91,1.3,Low,Low,1.5,8,B,389,male,group D,master's degree,standard,none,73,70,75
20,M,Master's,Medium,50,0.91,1.8,Medium,Medium,2.2,5,C,390,male,group E,some high school,free/reduced,completed,73,67,59
19,M,High School,Low,64,0.99,3.1,Medium,Medium,1.0,7,A,391,female,group D,some college,standard,none,77,68,77
23,M,PhD,Medium,74,0.98,1.6,High,Medium,3.2,6,A,392,male,group E,some college,standard,none,76,67,67
22,M,Master's,Medium,67,0.96,3.2,High,Low,1.3,6,A,393,male,group C,associate's degree,standard,completed,57,54,56
17,F,High School,Low,87,0.87,3.8,Low,High,3.6,8,A,394,female,group C,some high school,standard,completed,65,74,77
16,F,Bachelor's,Medium,91,0.91,1.0,Medium,Low,3.8,7,A,395,male,group A,high school,free/reduced,none,48,45,41
19,M,Bachelor's,Medium,95,0.88,1.6,High,High,2.7,8,A,396,female,group B,high school,free/reduced,none,50,67,63
23,F,PhD,Medium,75,0.76,2.9,High,Medium,0.9,6,A,397,female,group C,associate's degree,standard,none,85,89,95
17,M,Master's,Low,89,0.93,1.3,High,High,3.2,4,B,398,male,group B,some high school,standard,none,74,63,57
18,M,Bachelor's,Low,52,0.77,1.7,Medium,High,2.2,8,C,399,male,group D,some high school,standard,none,60,59,54
16,M,Master's,Medium,71,0.76,2.2,Low,High,4.8,5,C,400,female,group C,some high school,standard,completed,59,54,67
16,M,Master's,Medium,75,0.76,3.1,Low,High,2.8,6,B,401,male,group A,some college,standard,none,53,43,43
18,F,Bachelor's,Low,68,0.96,4.6,High,Medium,0.8,5,A,402,female,group A,some college,free/reduced,none,49,65,55
20,M,Master's,Medium,93,0.81,1.7,High,Low,3.4,7,A,403,female,group D,high school,standard,completed,88,99,100
18,M,Bachelor's,Low,93,0.78,4.7,High,High,4.0,6,A,404,female,group C,high school,standard,none,54,59,62
16,F,PhD,Medium,96,0.91,5.3,High,Medium,1.2,6,A,405,female,group C,some high school,standard,none,63,73,68
16,M,High School,Low,88,0.8,4.3,High,Medium,2.5,8,A,406,male,group B,associate's degree,standard,completed,65,65,63
23,F,High School,High,85,0.81,1.2,Medium,Medium,3.8,8,A,407,female,group B,associate's degree,standard,none,82,80,77
17,M,PhD,High,70,0.94,3.2,Low,Medium,0.6,5,B,408,female,group D,high school,free/reduced,completed,52,57,56
18,M,Bachelor's,Low,90,0.8,4.3,Medium,High,0.6,8,A,409,male,group D,associate's degree,standard,completed,87,84,85
17,M,Bachelor's,High,97,0.83,5.9,Medium,Low,3.5,4,A,410,female,group D,master's degree,standard,completed,70,71,74
18,M,Bachelor's,Medium,75,0.94,5.8,High,Medium,3.8,6,A,411,male,group E,some college,standard,completed,84,83,78
22,M,Bachelor's,Low,62,0.78,3.0,Medium,Low,4.3,7,B,412,male,group D,associate's degree,standard,none,71,66,60
16,M,PhD,Low,85,0.79,4.1,Low,Low,2.3,6,A,413,male,group B,some high school,standard,completed,63,67,67
23,F,High School,Medium,73,0.93,5.5,High,Low,2.3,5,A,414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
17,M,Master's,Medium,90,0.84,5.2,Low,Medium,3.0,8,A,415,male,group E,high school,standard,none,84,73,69
18,F,Master's,Low,75,0.92,3.4,Medium,Medium,3.9,6,A,416,male,group C,bachelor's degree,standard,completed,71,74,68
24,F,High School,Medium,70,0.89,2.3,High,Medium,3.4,8,A,417,male,group C,associate's degree,standard,none,74,73,67
22,M,PhD,Low,67,0.99,1.7,Low,Low,2.0,5,B,418,male,group D,some college,standard,none,68,59,62
19,F,Master's,Medium,64,0.75,3.4,Low,Medium,2.1,8,A,419,male,group E,high school,free/reduced,completed,57,56,54
20,M,High School,Low,64,0.79,4.6,High,Medium,3.9,7,A,420,female,group C,associate's degree,free/reduced,completed,82,93,93
17,F,PhD,Medium,55,0.79,5.8,Low,Low,2.9,5,A,421,female,group D,high school,standard,completed,57,58,64
23,M,Master's,Medium,92,0.82,5.3,High,Medium,0.9,6,A,422,female,group D,master's degree,free/reduced,completed,47,58,67
19,F,Bachelor's,High,80,0.96,2.0,High,High,1.2,6,A,423,female,group A,some high school,standard,completed,59,85,80
24,F,Bachelor's,High,77,0.96,4.6,Medium,High,4.3,7,A,424,male,group B,some college,free/reduced,none,41,39,34
20,M,PhD,High,57,0.96,2.4,Low,High,5.0,4,C,425,female,group C,some college,free/reduced,none,62,67,62
24,F,Bachelor's,Medium,78,0.94,4.4,High,High,2.0,8,A,426,male,group C,bachelor's degree,standard,none,86,83,86
19,M,PhD,Low,70,0.89,4.3,Medium,Low,2.2,6,A,427,male,group C,some high school,free/reduced,none,69,71,65
20,M,High School,Medium,66,0.91,2.4,Medium,Medium,1.2,7,B,428,male,group A,some high school,free/reduced,none,65,59,53
24,M,High School,High,98,0.93,2.2,High,High,1.6,8,A,429,male,group C,some high school,free/reduced,none,68,63,54
23,M,Master's,Medium,73,0.87,1.5,High,High,2.4,5,B,430,male,group C,associate's degree,free/reduced,none,64,66,59
18,M,PhD,High,99,0.96,1.3,Low,Medium,1.8,7,A,431,female,group C,high school,standard,none,61,72,70
16,F,Master's,High,85,0.95,5.3,Low,Low,3.7,5,A,432,male,group C,high school,standard,none,61,56,55
18,F,Master's,Low,80,0.84,1.2,Low,High,2.9,5,C,433,female,group A,some high school,free/reduced,none,47,59,50
19,F,High School,Low,96,0.91,1.4,High,Medium,4.2,5,A,434,male,group C,some high school,standard,none,73,66,66
17,M,Master's,High,83,0.79,2.2,Medium,Medium,3.8,8,A,435,male,group C,some college,free/reduced,completed,50,48,53
16,F,Bachelor's,High,51,0.92,5.4,Medium,High,1.1,4,B,436,male,group D,associate's degree,standard,none,75,68,64
22,F,Master's,Medium,91,0.91,2.7,High,High,1.1,5,A,437,male,group D,associate's degree,free/reduced,none,75,66,73
23,F,PhD,High,52,0.78,2.0,Low,Medium,4.5,6,C,438,male,group C,high school,standard,none,70,56,51
22,F,Bachelor's,Medium,79,0.96,4.6,Medium,Medium,4.2,8,A,439,male,group D,some high school,standard,completed,89,88,82
20,F,High School,High,57,0.81,2.6,Medium,High,2.6,8,B,440,female,group C,some college,standard,completed,67,81,79
16,M,PhD,Low,56,0.99,2.7,Low,High,1.1,5,C,441,female,group D,high school,standard,none,78,81,80
22,M,Bachelor's,Low,61,0.79,4.7,Medium,High,4.5,6,B,442,female,group A,some high school,free/reduced,none,59,73,69
22,F,PhD,High,68,0.82,2.3,Low,High,1.5,7,B,443,female,group B,associate's degree,standard,none,73,83,76
24,M,Bachelor's,Medium,75,0.82,5.5,Medium,Low,0.7,8,A,444,male,group A,some high school,free/reduced,none,79,82,73
18,M,PhD,Medium,77,0.85,3.8,Medium,Medium,4.7,5,A,445,female,group C,some high school,standard,completed,67,74,77
24,F,PhD,Medium,64,0.83,3.7,Medium,High,4.1,5,B,446,male,group D,some college,free/reduced,none,69,66,60
16,F,Bachelor's,High,63,0.93,2.3,Low,Medium,3.6,4,C,447,male,group C,high school,standard,completed,86,81,80
16,M,High School,High,97,0.93,5.2,Medium,High,0.7,4,A,448,male,group B,high school,standard,none,47,46,42
19,F,High School,Low,63,0.83,3.9,Medium,Low,2.9,7,A,449,male,group B,associate's degree,standard,none,81,73,72
24,M,PhD,Low,52,0.97,1.8,Medium,Medium,3.4,7,B,450,female,group C,some college,free/reduced,completed,64,85,85
21,M,PhD,High,99,0.94,2.0,High,Low,3.9,7,A,451,female,group E,some college,standard,none,100,92,97
18,F,High School,Low,78,0.91,3.3,Medium,Medium,2.6,7,A,452,female,group C,associate's degree,free/reduced,none,65,77,74
16,M,High School,Medium,55,0.9,4.9,Medium,Low,4.8,5,A,453,male,group C,some college,free/reduced,none,65,58,49
19,M,Master's,Medium,98,0.81,5.7,Low,High,1.6,5,A,454,female,group C,associate's degree,free/reduced,none,53,61,62
24,M,High School,High,72,0.96,4.3,Low,High,0.8,5,A,455,male,group C,bachelor's degree,free/reduced,none,37,56,47
18,F,PhD,Medium,77,0.77,3.5,High,Low,2.0,6,A,456,female,group D,bachelor's degree,standard,none,79,89,89
24,F,Bachelor's,High,63,0.95,2.3,Low,High,3.5,7,B,457,male,group D,associate's degree,free/reduced,none,53,54,48
22,F,High School,Medium,63,0.93,4.4,Low,Low,3.8,6,A,458,female,group E,bachelor's degree,standard,none,100,100,100
19,F,Master's,High,69,0.82,5.9,Low,Low,3.8,8,A,459,male,group B,high school,standard,completed,72,65,68
18,M,Master's,Medium,62,0.79,3.4,High,Medium,1.0,8,A,460,male,group C,bachelor's degree,free/reduced,none,53,58,55
20,F,Master's,Medium,76,0.8,1.8,High,Low,4.5,5,B,461,male,group B,some college,free/reduced,none,54,54,45
20,F,Bachelor's,Low,84,0.76,1.5,Medium,Medium,1.8,8,A,462,female,group E,some college,standard,none,71,70,76
18,F,High School,Low,94,0.98,2.3,Medium,Low,1.4,5,A,463,female,group C,some college,free/reduced,none,77,90,91
